,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,"Low birthweight
(%)
2015","Unweighed at birth
(%)
20102018*","Early
initiation
of breastfeeding
(%)","Exclusive
breastfeeding
(<6 months) 
(%)","Introduction
to solid,
semi-solid or
soft foods 
(68 months)
(%)",All children,"Poorest 
20%","Richest 
20%","Minimum diet diversity 
(623 months)
(%)","Minimum meal frequency 
(623 months)
(%)","Minimum acceptable diet 
(623 months)
(%)","Zero vegetable or fruit consumption (623 months)
(%)",,,,,,,,,
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,
,Senegal,18,40,34,42,67,70,77,61,20,31,8,52,,,,,,,,,
,Serbia,5,2,51,13,97,15,20,18,77,96,70,3,,,,,,,,,
,Seychelles,12,0,,,,,,,,,,,,,,,,,,,
,Sierra Leone,14,52,56,47,68,61,71,33,18,43,9,41,,,,,,,,,
,Singapore,10,17,,,,,,,,,,,,,,,,,,,
,Slovakia,8,2,,,,,,,,,,,,,,,,,,,
,Slovenia,6,4,,,,,,,,,,,,,,,,,,,
,Solomon Islands,,14,79,76,,71,,,,,,,,,,,,,,,
,Somalia,,96,23,5,17,43,61,23,,,,,,,,,,,,,
,South Africa,14,19,67,32,83,34,47,25,40,52,23,37,,,,,,,,,
,South Sudan,,,50,45,42,62,67,58,,12,,,,,,,,,,,
,Spain,8,4,,,,,,,,,,,,,,,,,,,
,Sri Lanka,16,0,90,82,88,91,,,,,,,,,,,,,,,
,State of Palestine,8,0,41,38,90,31,33,29,50,79,39,27,,,,,,,,,
,Sudan,,89,69,55,61,73,72,74,24,42,15,67,,,,,,,,,
,Suriname,15,19,45,3,79,17,16,15,,64,,,,,,,,,,,
,Sweden,2,5,,,,,,,,,,,,,,,,,,,
,Switzerland,6,0,,,,,,,,,,,,,,,,,,,
,Syrian Arab Republic,,52,46,43,44,45,57,42,,,,,,,,,,,,,
,Tajikistan,6,9,62,36,63,57,63,53,23,40,9,58,,,,,,,,,
,Thailand,11,1,40,23,85,24,35,11,63,85,54,22,,,,,,,,,
,Timor-Leste,,47,75,50,63,52,61,44,28,46,13,35,,,,,,,,,
,Togo,16,40,61,57,67,82,92,69,18,46,12,45,,,,,,,,,
,Tokelau,,,,,,,,,,,,,,,,,,,,,
,Tonga,,6,79,52,,41,,,,,,,,,,,,,,,
,Trinidad and Tobago,12,19,46,21,56,34,45,,,70,,,,,,,,,,,
,Tunisia,7,3,32,14,97,30,39,28,,88,55,20,,,,,,,,,
,Turkey,11,0,50,30,75,50,,,,,,,,,,,,,,,
,Turkmenistan,5,1,73,58,82,44,54,24,82,93,77,9,,,,,,,,,
,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,
,Tuvalu,,3,15,35,,53,,,,,,,,,,,,,,,
,Uganda,,33,66,65,81,67,77,53,26,42,15,44,,,,,,,,,
,Ukraine,6,3,66,20,75,31,31,30,,64,,,,,,,,,,,
,United Arab Emirates,13,3,,,,,,,,,,,,,,,,,,,
,United Kingdom,7,4,,,,,,,,,,,,,,,,,,,
,United Republic of Tanzania,10,36,51,59,92,72,75,70,21,40,9,29,,,,,,,,,
,United States,8,2,,35,,13,,,,,,,,,,,,,,,
,Uruguay,8,6,77,,,,,,,,,,,,,,,,,,
,Uzbekistan,5,1,67,24,47,57,66,52,,,,,,,,,,,,,
,Vanuatu,11,13,85,73,72,58,,,,,,,,,,,,,,,
